timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-00-17.300000,1,1.0,0,0.4234083270307325,0,48.0,0.0,0.0,0.0,6.509729364461289,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-25.850000,1,1.0,0,0.5309907904212606,0,46.5,0.0,0.0,0.0,13.805387212236797,1,1,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-51.500000,1,1.0,1,0.6743883356148892,1,199.5,0.0,0.0,0.0,30.78243181655522,1,2,0,0,0,0,1,0,0,0,90.60905032059435,10000.0,Train,Video1,1
0-01-16.700000,1,1.0,0,0.4485347611419462,0,49.0,0.0,0.0,0.0,3.1101203321203,0,0,0,1,0,0,1,0,0,0,122.78843593759146,10000.0,Train,Video1,1
0-01-59.150000,1,1.0,0,0.48023308770379397,1,409.0,0.0,0.0,0.0,4.824428288413231,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-11.250000,1,1.0,0,0.4921607686744467,0,117.5,0.0,0.0,0.0,5.123313977080319,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-34.800000,1,1.0,0,0.4826900565804619,0,116.0,0.0,0.0,0.0,5.513895568324623,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-49.200000,1,1.0,1,0.6895124004884542,0,113.0,0.0,0.0,0.0,33.601489589701224,1,2,0,0,0,0,1,0,0,0,96.54014708917737,10000.0,Train,Video1,1
0-00-27.900000,1,1.0,0,0.47266757255638076,0,8.5,0.0,0.0,0.0,8.137699272624642,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-06.050000,1,1.0,0,0.4670748230102302,0,49.5,0.0,0.0,0.0,7.340403074528302,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-52.900000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-40.150000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-15.050000,1,1.0,0,0.4655337497617296,0,40.5,0.0,0.0,0.0,5.865747962585628,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-17.100000,1,1.0,0,0.5022019609518255,0,0.0,0.0,0.0,0.0,1.0814668164015022,0,0,0,1,0,0,1,0,0,0,118.3427226321923,10000.0,Train,Video1,1
0-01-55.400000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-25.350000,1,1.0,0,0.5109596602232936,3,1082.0,0.0,0.0,0.0,6.286966248036925,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-52.250000,1,1.0,1,0.6312460817466703,0,96.0,0.0,0.0,0.0,30.83049938879067,1,2,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-59.600000,1,1.0,0,0.5096189083447634,0,64.0,0.0,0.0,0.0,5.337740479866333,0,0,0,0,0,0,1,0,0,0,98.49365461794989,10000.0,Train,Video1,1
0-02-17.250000,1,1.0,0,0.5389697875360053,0,74.5,0.0,0.0,0.0,3.3024245222299697,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-13.050000,1,1.0,0,0.4366997590725877,0,13.5,0.0,0.0,0.0,10.326341397894328,4,1,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-26.050000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,1,140.98226838861686,10000.0,Train,Video1,1
0-00-48.750000,1,1.0,1,0.6105625108726637,1,226.0,0.0,0.0,0.0,33.7039305551091,1,2,0,0,0,0,1,0,0,0,97.0,10000.0,Train,Video1,1
0-02-17.200000,1,1.0,0,0.503203107710251,0,75.0,0.0,0.0,0.0,3.3827903334414353,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-14.450000,1,1.0,0,0.445896321370523,0,110.0,0.0,0.0,0.0,8.715029392861778,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-00.450000,1,1.0,0,0.480312585233006,0,34.5,0.0,0.0,0.0,2.8831409750934003,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-46.150000,1,1.0,1,0.6045802191432584,1,362.0,0.0,0.0,0.0,21.00974238180448,1,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-44.200000,1,1.0,0,0.4394690514817857,0,58.0,0.0,0.0,0.0,5.851355158809732,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-56.500000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-14.500000,1,1.0,0,0.44407154069535076,0,19.0,0.0,0.0,0.0,7.535097415620242,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-37.500000,1,1.0,0,0.4682769228250651,0,85.0,0.0,0.0,0.0,3.868559274801846,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-26.300000,1,1.0,0,0.44407154069535076,0,17.5,0.0,0.0,0.0,11.599082757228276,4,1,0,1,0,0,1,0,0,0,105.6882207249228,10000.0,Train,Video1,1
0-00-01.350000,1,1.0,0,0.49553467561138137,0,59.5,0.0,0.0,0.0,2.9453877139602103,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-36.750000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-09.500000,1,1.0,1,0.5923644821077669,0,10.5,0.0,0.0,0.0,20.14616684848002,1,2,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-52.950000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-56.400000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-16.600000,1,1.0,0,0.4630073305535021,0,78.5,0.0,0.0,0.0,4.1403898059611395,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-20.600000,1,1.0,0,0.5142080134160679,1,439.0,0.0,0.0,0.0,21.196919275427742,1,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-17.150000,1,1.0,0,0.4871403283263102,0,25.0,0.0,0.0,0.0,6.026208786228387,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-44.150000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-15.550000,1,1.0,2,0.40300881799602145,0,55.0,0.0,0.0,0.0,6.507058064509258,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-00.300000,1,1.0,0,0.5426273532033236,0,93.0,0.0,0.0,0.0,3.4746673127617065,0,0,0,0,0,0,1,0,0,0,106.4048871058092,10000.0,Train,Video1,1
0-00-18.250000,1,1.0,0,0.445896321370523,0,61.0,0.0,0.0,0.0,7.941857260789703,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-20.800000,1,1.0,0,0.42573465914816,0,24.0,0.0,0.0,0.0,7.0825740063660385,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-16.100000,1,1.0,0,0.4532804682510181,0,61.5,0.0,0.0,0.0,7.88605509814494,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-43.600000,1,1.0,0,0.44377343983206474,0,31.5,0.0,0.0,0.0,5.672870543028008,0,0,0,0,0,0,1,0,0,0,90.80198235721508,10000.0,Train,Video1,1
0-01-45.950000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-09.900000,1,2.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-34.600000,1,1.0,0,0.46375155221670805,0,67.5,0.0,0.0,0.0,3.2308391957736013,0,0,1,0,0,0,0,0,0,0,132.07573584879245,10000.0,Train,Video1,1
0-01-26.150000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,1,0,0,1,0,0,0,99.64436762808022,10000.0,Train,Video1,1
0-01-22.800000,1,1.0,0,0.46164353574848277,0,22.0,0.0,0.0,0.0,8.625623426041104,0,0,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-05.050000,1,1.0,0,0.5465495885481241,0,72.5,0.0,0.0,0.0,17.39502289298802,1,2,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-27.350000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,1,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-19.650000,1,1.0,0,0.5380637094168615,0,19.5,0.0,0.0,0.0,9.6112638421196,4,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-38.250000,1,1.0,0,0.4682769228250651,0,36.5,0.0,0.0,0.0,4.126563254411563,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
